organ,ftu,uberon_id
Kidney,cortical collecting duct,UBERON:0004203
Kidney,descending limb of loop of Henle,UBERON:0001289
Kidney,inner medullary collecting duct,UBERON:0004205
Kidney,loop of Henle ascending limb thin segment,UBERON:0004193
Kidney,nephron,UBERON:0001285
Kidney,outer medullary collecting duct,UBERON:0004204
Kidney,renal corpuscle,UBERON:0001229
Kidney,thick ascending limb of loop of Henle,UBERON:0001291
Large Intestine,crypt of Lieberkuhn of large intestine,UBERON:0001984
Liver,liver lobule,UBERON:0004647
Lung,alveolus of lung,UBERON:0002299
Lung,bronchus submucosal gland,UBERON:8410043
Pancreas,intercalated duct of pancreas,UBERON:0014726
Pancreas,islet of Langerhans,UBERON:0000006
Pancreas,pancreatic acinus,UBERON:0001263
Prostate Gland,prostate glandular acinus,UBERON:0004179
Skin,epidermal ridge of digit,UBERON:0013487
Skin,papillary layer of dermis,UBERON:0001992
Small Intestine,intestinal villus,UBERON:0001213
Spleen,red pulp of spleen,UBERON:0001250
Spleen,white pulp of spleen,UBERON:0001959
Thymus,thymus lobule,UBERON:0002125
