rep_length_um,cortical collecting duct,descending limb of loop of Henle,inner medullary collecting duct,loop of Henle ascending limb thin segment,nephron,outer medullary collecting duct,renal corpuscle,thick ascending limb of loop of Henle,crypt of Lieberkuhn of large intestine,liver lobule,alveolus of lung,bronchus submucosal gland,intercalated duct of pancreas,islet of Langerhans,pancreatic acinus,prostate glandular acinus,epidermal ridge of digit,papillary layer of dermis,intestinal villus,red pulp of spleen,white pulp of spleen,thymus lobule
0.00031622776601683794,,1 (0.0),,,2 (0.0),,,1 (0.0),1 (0.0),2 (0.0),,,,1 (0.0),2 (0.0),,46 (7.6),1 (0.0),,3 (0.0),2 (0.0),
0.0031622776601683794,1 (0.0),8 (0.5),1 (0.0),1 (0.0),21 (2.6),,,4 (0.1),3 (0.0),,,1 (0.0),,1 (0.0),6 (0.3),,205 (37.6),1 (0.0),3 (0.0),30 (4.3),20 (2.4),
0.03162277660168379,15 (1.5),51 (8.6),4 (0.1),5 (0.2),151 (28.1),3 (0.0),1 (0.0),43 (7.0),82 (15.0),14 (1.3),19 (2.2),4 (0.1),2 (0.0),27 (3.7),45 (7.4),11 (0.9),404 (67.6),47 (7.8),63 (11.1),136 (25.4),97 (17.9),
0.31622776601683794,126 (23.5),308 (53.9),105 (19.5),24 (3.1),1374 (168.2),59 (10.3),27 (3.7),231 (41.9),617 (94.5),118 (22.0),111 (20.7),21 (2.6),15 (1.5),204 (37.4),338 (58.3),84 (15.4),1111 (145.3),350 (60.0),506 (81.0),556 (87.2),375 (63.6),4 (0.1)
3.1622776601683795,390 (65.7),729 (107.1),330 (57.1),66 (11.7),3222 (291.0),156 (29.0),75 (13.5),494 (79.5),1359 (167.0),354 (60.6),217 (39.6),48 (8.0),64 (11.3),433 (71.5),851 (120.1),234 (42.3),2001 (215.8),633 (96.3),1029 (137.6),1046 (139.2),766 (111.1),14 (1.3)
31.622776601683793,2404 (242.7),5247 (388.3),1299 (161.9),369 (62.7),17498 (741.8),774 (112.0),590 (91.3),2770 (265.2),9715 (546.4),2792 (266.5),1809 (202.1),506 (81.0),421 (69.9),3957 (329.3),6239 (428.5),2385 (241.5),7062 (459.2),5729 (408.3),7857 (487.0),7887 (488.1),5170 (385.0),133 (24.8)
316.22776601683796,1323 (163.9),4555 (357.8),733 (107.6),296 (52.1),9001 (524.5),468 (76.1),351 (60.2),1944 (211.8),7210 (464.5),2581 (253.8),1507 (179.0),317 (55.2),233 (42.2),2786 (266.2),3769 (319.9),1668 (191.6),4819 (369.7),5263 (389.0),6638 (443.6),7841 (486.5),4856 (371.3),124 (23.1)
3162.2776601683795,212 (38.7),1026 (137.3),128 (23.9),73 (13.1),1018 (136.6),81 (14.8),56 (9.7),457 (74.7),738 (108.1),337 (58.1),357 (61.0),59 (10.3),36 (5.5),360 (61.5),446 (73.2),181 (33.4),1226 (155.6),1063 (140.8),625 (95.4),1147 (148.5),867 (121.7),22 (2.8)
31622.776601683792,44 (7.2),335 (57.9),35 (5.3),44 (7.2),284 (50.2),14 (1.3),7 (0.4),220 (40.1),294 (51.8),96 (17.7),198 (36.4),21 (2.6),8 (0.5),99 (18.3),143 (26.7),60 (10.5),529 (83.9),350 (60.0),229 (41.5),533 (84.4),440 (72.4),5 (0.2)
316227.7660168379,14 (1.3),73 (13.1),11 (0.9),8 (0.5),50 (8.4),13 (1.2),3 (0.0),49 (8.2),65 (11.5),34 (5.1),35 (5.3),3 (0.0),2 (0.0),11 (0.9),16 (1.7),8 (0.5),79 (14.4),52 (8.8),49 (8.2),76 (13.8),64 (11.3),4 (0.1)
3162277.6601683795,1 (0.0),6 (0.3),,,8 (0.5),,,2 (0.0),7 (0.4),2 (0.0),1 (0.0),,,5 (0.2),1 (0.0),1 (0.0),14 (1.3),8 (0.5),8 (0.5),8 (0.5),8 (0.5),
