numeric_value,cortical collecting duct,descending limb of loop of Henle,inner medullary collecting duct,loop of Henle ascending limb thin segment,nephron,outer medullary collecting duct,renal corpuscle,thick ascending limb of loop of Henle,crypt of Lieberkuhn of large intestine,liver lobule,alveolus of lung,bronchus submucosal gland,intercalated duct of pancreas,islet of Langerhans,pancreatic acinus,prostate glandular acinus,epidermal ridge of digit,papillary layer of dermis,intestinal villus,red pulp of spleen,white pulp of spleen,thymus lobule
17.0,,,,,,,,,,,,,,,1 (100.0),,,,,,,
26.0,,1 (100.0),,1 (100.0),,,,1 (100.0),,,,,,,,,,,,,,
30.0,,,,,,,,,,,,,,,,,,,,1 (100.0),,
35.0,1 (100.0),,,,,,,,,,,,,,,,,,,,,
40.0,,,,,,1 (100.0),,,,,,,,,,,,,,,,
50.0,,,1 (100.0),,,,,,1 (100.0),,,,,,,,,,,,,
100.0,,,,,,,,,,,,,,1 (100.0),,,,,,,,
192.0,,,,,,,,,,,1 (100.0),,,,,,,,,,,
200.0,,,,,,,1 (100.0),,,,,,,,,,,,,,,
500.0,,,,,,,,,,,,,,,,1 (100.0),,,,,,
590.0,,,,,,,,,,,,,,,,,1 (100.0),,,,,
700.0,,,,,,,,,1 (100.0),,,,,,,,,,,,,
750.0,,,,,,,,,,,,,,,,,,,1 (100.0),,1 (100.0),
800.0,,,,,,,,,,,,,,,,,,1 (100.0),,,,
1250.0,,,,,,,,,,,,,,,,,,,,,,1 (100.0)
1500.0,,,,,,,,,,,,1 (100.0),,,,,,,,,,
1750.0,,,,,,,,,,1 (100.0),,,,,,,,,,,,
2500.0,,,,,,,,,,,,,1 (100.0),,,,,,,,,
3200.0,,1 (100.0),,,,,,,,,,,,,,,,,,,,
5000.0,,,,1 (100.0),,1 (100.0),,1 (100.0),,,,,,,,,,,,,,
12000.0,,,1 (100.0),,,,,,,,,,,,,,,,,,,
21000.0,1 (100.0),,,,,,,,,,,,,,,,,,,,,
40000.0,,,,,1 (100.0),,,,,,,,,,,,,,,,,
