"ftu","micro_yes_count","schema_yes_count"
"alveolus of lung",32481,8896
"bronchus submucosal gland",8534,2053
"cortical collecting duct",26423,8172
"crypt of Lieberkuhn of large intestine",147861,43836
"descending limb of loop of Henle",81959,32128
"epidermal ridge of digit",184323,68971
"inner medullary collecting duct",17250,5115
"intercalated duct of pancreas",4675,1401
"intestinal villus",108333,33014
"islet of Langerhans",54005,15591
"liver lobule",54357,12713
"loop of Henle ascending limb thin segment",6597,2330
"nephron",214773,58472
"outer medullary collecting duct",7938,2443
"pancreatic acinus",80172,25628
"papillary layer of dermis",140850,37721
"prostate glandular acinus",30627,9918
"red pulp of spleen",156630,42562
"renal corpuscle",8446,1496
"thick ascending limb of loop of Henle",38105,12589
"thymus lobule",2421,597
"white pulp of spleen",115226,29440
